N,P,Q,Res P,Res Q
9234800,42697,9192103,7,13
9234800,42703,9192097,13,7
9234800,42709,9192091,19,1
9234800,42787,9192013,7,13
9234800,42829,9191971,19,1
9234800,42901,9191899,1,19
9234800,42937,9191863,7,13
9234800,42979,9191821,19,1
9234800,43201,9191599,1,19
9234800,43237,9191563,7,13
9234800,43411,9191389,1,19
9234800,43573,9191227,13,7
9234800,43633,9191167,13,7
9234800,43711,9191089,1,19
9234800,43753,9191047,13,7
9234800,43777,9191023,7,13
9234800,43867,9190933,7,13
9234800,44089,9190711,19,1
9234800,44119,9190681,19,1
9234800,44131,9190669,1,19
9234800,44221,9190579,1,19
9234800,44257,9190543,7,13
9234800,44263,9190537,13,7
9234800,44389,9190411,19,1
9234800,44449,9190351,19,1
9234800,44959,9189841,19,1
9234800,45007,9189793,7,13
9234800,45181,9189619,1,19
9234800,45343,9189457,13,7
9234800,45553,9189247,13,7
9234800,45589,9189211,19,1
9234800,45667,9189133,7,13
9234800,45673,9189127,13,7
9234800,45691,9189109,1,19
9234800,45751,9189049,1,19
9234800,45853,9188947,13,7
9234800,46099,9188701,19,1
9234800,46141,9188659,1,19
9234800,46171,9188629,1,19
9234800,46261,9188539,1,19
9234800,46399,9188401,19,1
9234800,46447,9188353,7,13
9234800,46681,9188119,1,19
9234800,46807,9187993,7,13
9234800,46867,9187933,7,13
9234800,47161,9187639,1,19
9234800,47353,9187447,13,7
9234800,47389,9187411,19,1
9234800,47431,9187369,1,19
9234800,47527,9187273,7,13
9234800,47533,9187267,13,7
9234800,47563,9187237,13,7
9234800,47599,9187201,19,1
9234800,47623,9187177,13,7
9234800,47659,9187141,19,1
9234800,47917,9186883,7,13
9234800,48109,9186691,19,1
9234800,48247,9186553,7,13
9234800,48313,9186487,13,7
9234800,48397,9186403,7,13
9234800,48481,9186319,1,19
9234800,48523,9186277,13,7
9234800,48541,9186259,1,19
9234800,48619,9186181,19,1
9234800,48757,9186043,7,13
9234800,48817,9185983,7,13
9234800,48823,9185977,13,7
9234800,48859,9185941,19,1
9234800,48907,9185893,7,13
9234800,49009,9185791,19,1
9234800,49081,9185719,1,19
9234800,49177,9185623,7,13
9234800,49279,9185521,19,1
9234800,49627,9185173,7,13
9234800,49639,9185161,19,1
9234800,49807,9184993,7,13
9234800,49831,9184969,1,19
9234800,49999,9184801,19,1
9234800,50263,9184537,13,7
9234800,50341,9184459,1,19
9234800,50551,9184249,1,19
9234800,50593,9184207,13,7
9234800,50707,9184093,7,13
9234800,50773,9184027,13,7
9234800,50893,9183907,13,7
9234800,50929,9183871,19,1
9234800,51001,9183799,1,19
9234800,51151,9183649,1,19
9234800,51229,9183571,19,1
9234800,51343,9183457,13,7
9234800,51361,9183439,1,19
9234800,51427,9183373,7,13
9234800,51607,9183193,7,13
9234800,51673,9183127,13,7
9234800,51679,9183121,19,1
9234800,51721,9183079,1,19
9234800,52069,9182731,19,1
9234800,52147,9182653,7,13
9234800,52189,9182611,19,1
9234800,52201,9182599,1,19
9234800,52567,9182233,7,13
9234800,52747,9182053,7,13
9234800,52813,9181987,13,7
9234800,52951,9181849,1,19
9234800,53077,9181723,7,13
9234800,53149,9181651,19,1
9234800,53281,9181519,1,19
9234800,53359,9181441,19,1
9234800,53479,9181321,19,1
9234800,53611,9181189,1,19
9234800,53917,9180883,7,13
9234800,54037,9180763,7,13
9234800,54049,9180751,19,1
9234800,54217,9180583,7,13
9234800,54319,9180481,19,1
9234800,54331,9180469,1,19
9234800,54469,9180331,19,1
9234800,54679,9180121,19,1
9234800,54709,9180091,19,1
9234800,54721,9180079,1,19
9234800,54799,9180001,19,1
9234800,54973,9179827,13,7
9234800,55009,9179791,19,1
9234800,55207,9179593,7,13
9234800,55219,9179581,19,1
9234800,55243,9179557,13,7
9234800,55291,9179509,1,19
9234800,55381,9179419,1,19
9234800,55411,9179389,1,19
9234800,55603,9179197,13,7
9234800,55813,9178987,13,7
9234800,55933,9178867,13,7
9234800,56053,9178747,13,7
9234800,56131,9178669,1,19
9234800,56179,9178621,19,1
9234800,56209,9178591,19,1
9234800,56263,9178537,13,7
9234800,56359,9178441,19,1
9234800,56377,9178423,7,13
9234800,56401,9178399,1,19
9234800,56467,9178333,7,13
9234800,56473,9178327,13,7
9234800,56569,9178231,19,1
9234800,56611,9178189,1,19
9234800,56629,9178171,19,1
9234800,56731,9178069,1,19
9234800,56773,9178027,13,7
9234800,56821,9177979,1,19
9234800,56989,9177811,19,1
9234800,57193,9177607,13,7
9234800,57301,9177499,1,19
9234800,57349,9177451,19,1
9234800,57427,9177373,7,13
9234800,57493,9177307,13,7
9234800,57559,9177241,19,1
9234800,57601,9177199,1,19
9234800,57787,9177013,7,13
9234800,57829,9176971,19,1
9234800,57847,9176953,7,13
9234800,57943,9176857,13,7
9234800,57991,9176809,1,19
9234800,58027,9176773,7,13
9234800,58111,9176689,1,19
9234800,58153,9176647,13,7
9234800,58207,9176593,7,13
9234800,58411,9176389,1,19
9234800,58441,9176359,1,19
9234800,58453,9176347,13,7
9234800,58741,9176059,1,19
9234800,58771,9176029,1,19
9234800,58909,9175891,19,1
9234800,59077,9175723,7,13
9234800,59107,9175693,7,13
9234800,59209,9175591,19,1
9234800,59239,9175561,19,1
9234800,59581,9175219,1,19
9234800,59629,9175171,19,1
9234800,59707,9175093,7,13
9234800,59743,9175057,13,7
9234800,59863,9174937,13,7
9234800,59929,9174871,19,1
9234800,60013,9174787,13,7
9234800,60337,9174463,7,13
9234800,60343,9174457,13,7
9234800,60703,9174097,13,7
9234800,60757,9174043,7,13
9234800,60913,9173887,13,7
9234800,60919,9173881,19,1
9234800,61231,9173569,1,19
9234800,61291,9173509,1,19
9234800,61483,9173317,13,7
9234800,61627,9173173,7,13
9234800,61729,9173071,19,1
9234800,61819,9172981,19,1
9234800,61843,9172957,13,7
9234800,61927,9172873,7,13
9234800,62017,9172783,7,13
9234800,62053,9172747,13,7
9234800,62137,9172663,7,13
9234800,62191,9172609,1,19
9234800,62401,9172399,1,19
9234800,62563,9172237,13,7
9234800,62617,9172183,7,13
9234800,62743,9172057,13,7
9234800,62761,9172039,1,19
9234800,62971,9171829,1,19
